char,jyutping
真咩,zan1 me1
軟鏈接,jyun5 lin4 zip3
硬鏈接,ngaang6 lin4 zip3
語流,jyu5 lau4
偏導,pin1 dou6
想舐,soeng2 laai2
舐爆,laai2 baau3
插爆,caap3 baau3
想插,soeng2 caap3
很想要吧,han2 soeng2 jiu3 baa6
屌死,diu2 sei2
想畀人,soeng2 bei2 jan4
條件隨機場,tiu4 gin2 ceoi4 gei1 coeng4
隨機場,ceoi4 gei1 coeng4
後驗,hau6 jim6
後驗分佈,hau6 jim6 fan1 bou3
隨機變量,ceoi4 gei1 bin3 loeng6
統計力學,tung2 gai3 lik6 hok6
卡爾曼濾波,kaa1 ji5 maan6 leoi6 bo1
鹹嘢,haam4 je5
用鳩拍面,jung6 kau1 paak3 min6
狄利克雷,dik6 lei6 hak1 leoi4
削筆刀,soek3 bat1 dou1
屠榜,ceoi4 bong2
坐爆,co5 baau3
兩家茶禮,loeng5 gaa1 caa4 lai5
一雞兩味,jat1 gai1 loeng4 mei2
一雞三味,jat1 gai1 saam1 mei2
散點圖,saan2 dim2 tou4
吉布斯,gat1 bou3 si1
有向圖,jau5 hoeng3 tou4
無向圖,mou4 hoeng3 tou4
測度,caak1 dok6
有限維,jau5 haan6 wai4
隱變量,jan2 bin3 loeng6
分佈律,fan1 bou3 leot6
二項,ji6 hong6
一字型,jat1 zi6 jing4
幻想鄉,waan6 soeng2 hoeng1
衕鄉會,dung6 hoeng1 wui5
調參,diu6 caam1
乜撚嘢,mat1 nan2 je5
乜撚,mat1 nan2
我老母會,ngo5 lou5 mou2 wui5
好易,hou2 ji6
好易攰,hou2 ji6 gui6
易啲,ji6 di1
易啲玩,ji6 di1 waan4
智商稅,zi3 soeng1 seoi3
